school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,G1_scale,G2_scale,G3_scale,subject,GT_scale,G1_scale_rank,G2_scale_rank,G3_scale_rank,GT_scale_rank,G1_scale_rank_bin,G2_scale_rank_bin,G3_scale_rank_bin,GT_scale_rank_bin
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16,0.9324730322983409,1.4070911498248926,1.2205528765809066,math,1.2446979227910937,218,81,107,118,3,2,2,3
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14,0.9324730322983409,0.8747147090386544,0.7834555182405094,math,0.9057478253433021,218,166,205,198,3,3,3,3
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14,0.6308130423246762,0.8747147090386544,0.7834555182405094,math,0.8002806295410176,248,166,205,225,4,3,3,3
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10,-0.8774869075436472,-0.19003817253382177,-0.0907391984402851,math,-0.4049555443659875,842,522,558,679,7,5,5,6
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5,-1.4808068874909766,-1.520979274499417,-1.1834825942912781,math,-1.463265179590035,962,983,934,972,8,8,8,8
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10,-0.8774869075436472,-0.19003817253382177,-0.0907391984402851,math,-0.4049555443659875,842,522,558,679,7,5,5,6
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15,0.6308130423246762,0.8747147090386544,1.0020041974107081,math,0.8766902201545633,248,166,123,202,4,3,3,3
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15,0.3291530523510115,1.1409029294317736,1.0020041974107081,math,0.8642884824626291,353,132,123,203,4,3,3,3
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16,1.2341330222720055,1.1409029294317736,1.2205528765809066,math,1.257099660483028,123,132,107,116,3,3,2,3
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12,0.6308130423246762,0.6085264886455354,0.34635815990011215,math,0.5543959902035763,248,243,326,298,4,4,4,4
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8,-0.2741669275963179,-0.45622639292694084,-0.5278365567806823,math,-0.43990579209886,600,671,746,687,5,6,6,6
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8,-1.4808068874909766,-0.45622639292694084,-0.5278365567806823,math,-0.8617745753079976,962,671,746,858,8,6,6,7
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11,0.3291530523510115,0.34233826825241637,0.12780948072991352,math,0.27945374567739617,353,360,439,396,4,4,5,4
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,15,16,15,1.2341330222720055,1.4070911498248926,1.0020041974107081,math,1.2737555279798325,123,81,123,114,3,2,3,2
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11,0.027493062377346802,0.07615004785929728,0.12780948072991352,math,0.08092109176476156,470,487,439,488,5,5,5,5
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11,-0.2741669275963179,0.34233826825241637,0.12780948072991352,math,0.06851935407282725,600,360,439,496,5,4,5,5
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12,-0.5758269175699826,0.07615004785929728,0.34635815990011215,math,-0.053603709226261786,746,487,326,533,6,5,4,5
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17,1.837453002219335,1.4070911498248926,1.4391015557511053,math,1.6375091008114926,36,81,65,55,1,2,2,2
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16,1.837453002219335,1.4070911498248926,1.2205528765809066,math,1.561099510197947,36,81,107,65,1,2,2,2
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12,-0.8774869075436472,-0.19003817253382177,0.34635815990011215,math,-0.2521363631388963,842,522,326,615,7,5,4,5
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15,0.3291530523510115,0.8747147090386544,1.0020041974107081,math,0.771223024352279,353,166,123,228,4,3,3,3
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6,-0.8774869075436472,-0.9886028337131789,-0.9649339151210796,math,-0.9897902811512204,842,908,919,888,7,7,7,7
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18,1.2341330222720055,1.4070911498248926,1.6576502349213038,math,1.5029842998204692,123,81,24,72,3,2,1,2
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15,1.2341330222720055,1.4070911498248926,1.0020041974107081,math,1.2737555279798325,123,81,123,114,3,2,3,2
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11,0.3291530523510115,0.34233826825241637,0.12780948072991352,math,0.27945374567739617,353,360,439,396,4,4,5,4
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13,0.9324730322983409,0.6085264886455354,0.5649068390703108,math,0.7362727766194064,218,243,295,232,3,4,4,3
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11,-1.179146897517312,-0.19003817253382177,0.12780948072991352,math,-0.43401314955472653,883,522,439,684,7,5,5,6
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12,0.3291530523510115,0.34233826825241637,0.34635815990011215,math,0.35586333629094175,353,360,326,378,4,4,4,4
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18,2.4407729821666644,1.9394675906111307,1.6576502349213038,math,2.110983999250308,2,19,24,17,1,1,1,1
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11,-0.8774869075436472,-0.7224146133200599,0.12780948072991352,math,-0.5146768699731423,842,804,439,736,7,7,5,6
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9,-0.2741669275963179,-0.19003817253382177,-0.3092878776104837,math,-0.2704307433749642,600,522,718,618,5,5,6,5
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,-0.8774869075436472,-0.7224146133200599,-0.9649339151210796,math,-0.8967248230408701,842,804,919,862,7,7,7,7
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11,0.027493062377346802,0.34233826825241637,0.12780948072991352,math,0.1739865498751117,470,360,439,447,5,4,5,5
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20,2.4407729821666644,2.2056558110042497,2.094747593261701,math,2.356868638587749,2,16,3,2,1,1,1,1
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,15,15,14,1.2341330222720055,1.1409029294317736,0.7834555182405094,math,1.1042804792559369,123,132,205,144,3,3,3,3
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7,-1.179146897517312,-0.9886028337131789,-0.746385235950881,math,-1.0188478863399593,883,908,875,891,7,7,7,7
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,12,13,13,0.3291530523510115,0.6085264886455354,0.5649068390703108,math,0.5253383850148374,353,243,295,302,4,4,4,4
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,11,13,13,0.027493062377346802,0.6085264886455354,0.5649068390703108,math,0.419871189212553,470,243,295,354,5,4,4,4
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,11,11,10,0.027493062377346802,0.07615004785929728,-0.0907391984402851,math,0.004511501151215967,470,487,558,519,5,5,5,5
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,8,10,11,-0.8774869075436472,-0.19003817253382177,0.12780948072991352,math,-0.32854595375244194,842,522,439,631,7,5,5,6
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,10,13,13,-0.2741669275963179,0.6085264886455354,0.5649068390703108,math,0.3144039934102686,600,243,295,388,5,4,4,4
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10,-0.8774869075436472,-0.45622639292694084,-0.0907391984402851,math,-0.4980210024763377,842,671,558,726,7,6,5,6
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15,0.9324730322983409,1.1409029294317736,1.0020041974107081,math,1.075222874067198,218,132,123,163,3,3,3,3
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15,0.9324730322983409,1.1409029294317736,1.0020041974107081,math,1.075222874067198,218,132,123,163,3,3,3,3
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9,-0.5758269175699826,-0.19003817253382177,-0.3092878776104837,math,-0.37589793917724873,746,522,718,671,6,5,6,6
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,15,16,16,1.2341330222720055,1.4070911498248926,1.2205528765809066,math,1.350165118593378,123,81,107,93,3,2,2,2
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11,-0.2741669275963179,0.07615004785929728,0.12780948072991352,math,-0.024546104037522908,600,487,439,529,5,5,5,5
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11,-0.2741669275963179,-0.7224146133200599,0.12780948072991352,math,-0.3037424783685733,600,804,439,625,5,7,5,5
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9,-0.8774869075436472,-0.19003817253382177,-0.3092878776104837,math,-0.48136513497953315,842,522,718,724,7,5,6,6
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9,-0.2741669275963179,-0.45622639292694084,-0.3092878776104837,math,-0.36349620148531436,600,671,718,663,5,6,6,6
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10,-0.2741669275963179,-0.19003817253382177,-0.0907391984402851,math,-0.1940211527614186,600,522,558,573,5,5,5,5
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,15,1.5357930122456702,1.1409029294317736,1.0020041974107081,math,1.286157265671767,66,132,123,107,2,3,3,2
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12,0.6308130423246762,0.6085264886455354,0.34635815990011215,math,0.5543959902035763,248,243,326,298,4,4,4,4
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,7,7,6,-1.179146897517312,-0.9886028337131789,-0.9649339151210796,math,-1.0952574769535048,883,908,919,920,7,7,7,7
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,8,9,8,-0.8774869075436472,-0.45622639292694084,-0.5278365567806823,math,-0.6508401837034289,842,671,746,789,7,6,6,6
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,16,1.5357930122456702,1.4070911498248926,1.2205528765809066,math,1.4556323143956627,66,81,107,74,2,2,2,2
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,13,15,15,0.6308130423246762,1.1409029294317736,1.0020041974107081,math,0.9697556782649136,248,132,123,180,4,3,3,3
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,10,10,10,-0.2741669275963179,-0.19003817253382177,-0.0907391984402851,math,-0.1940211527614186,600,522,558,573,5,5,5,5
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5,-0.8774869075436472,-1.254791054106298,-1.1834825942912781,math,-1.1592653298751159,842,969,934,928,7,8,8,7
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14,0.3291530523510115,0.34233826825241637,0.7834555182405094,math,0.508682517518033,353,360,205,307,4,4,3,4
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11,0.027493062377346802,0.34233826825241637,0.12780948072991352,math,0.1739865498751117,470,360,439,447,5,4,5,5
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10,-0.5758269175699826,-0.45622639292694084,-0.0907391984402851,math,-0.3925538066740532,746,671,558,673,6,6,5,6
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,11,11,10,0.027493062377346802,0.07615004785929728,-0.0907391984402851,math,0.004511501151215967,470,487,558,519,5,5,5,5
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,11,11,11,0.027493062377346802,0.07615004785929728,0.12780948072991352,math,0.08092109176476156,470,487,439,488,5,5,5,5
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,8,8,10,-0.8774869075436472,-0.7224146133200599,-0.0907391984402851,math,-0.5910864605866878,842,804,558,771,7,7,5,6
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,5,5,5,-1.7824668774646413,-1.520979274499417,-1.1834825942912781,math,-1.5687323753923195,1019,983,934,988,9,8,8,8
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,10,12,12,-0.2741669275963179,0.34233826825241637,0.34635815990011215,math,0.14492894468637282,600,360,326,454,5,4,4,5
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,11,10,11,0.027493062377346802,-0.19003817253382177,0.12780948072991352,math,-0.012144366345588598,470,522,439,528,5,5,5,5
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,7,6,6,-1.179146897517312,-1.254791054106298,-0.9649339151210796,math,-1.1883229350638551,883,969,919,939,7,8,7,8
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15,1.2341330222720055,1.1409029294317736,1.0020041974107081,math,1.1806900698694824,123,132,123,135,3,3,3,3
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10,-0.5758269175699826,-0.19003817253382177,-0.0907391984402851,math,-0.2994883485637031,746,522,558,622,6,5,5,5
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,7,9,8,-1.179146897517312,-0.45622639292694084,-0.5278365567806823,math,-0.7563073795057134,883,671,746,826,7,6,6,7
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,8,7,6,-0.8774869075436472,-0.9886028337131789,-0.9649339151210796,math,-0.9897902811512204,842,908,919,888,7,7,7,7
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,14,0.6308130423246762,0.8747147090386544,0.7834555182405094,math,0.8002806295410176,248,166,205,225,4,3,3,3
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,11,10,10,0.027493062377346802,-0.19003817253382177,-0.0907391984402851,math,-0.08855395695913418,470,522,558,535,5,5,5,5
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,8,6,7,-0.8774869075436472,-1.254791054106298,-0.746385235950881,math,-1.006446148648025,842,969,875,890,7,8,7,7
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,7,7,8,-1.179146897517312,-0.9886028337131789,-0.5278365567806823,math,-0.9424382957264136,883,908,746,877,7,7,6,7
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18,1.5357930122456702,1.6732793702180115,1.6576502349213038,math,1.701516953733104,66,51,24,46,2,2,1,2
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,7,6,6,-1.179146897517312,-1.254791054106298,-0.9649339151210796,math,-1.1883229350638551,883,969,919,939,7,8,7,8
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10,0.027493062377346802,-0.19003817253382177,-0.0907391984402851,math,-0.08855395695913418,470,522,558,535,5,5,5,5
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,11,13,14,0.027493062377346802,0.6085264886455354,0.7834555182405094,math,0.49628077982609864,470,243,205,311,5,4,3,4
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10,-1.179146897517312,-0.19003817253382177,-0.0907391984402851,math,-0.510422740168272,883,522,558,733,7,5,5,6
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2,11,15,15,0.027493062377346802,1.1409029294317736,1.0020041974107081,math,0.7588212866603447,470,132,123,230,5,3,3,3
GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2,8,9,10,-0.8774869075436472,-0.45622639292694084,-0.0907391984402851,math,-0.4980210024763377,842,671,558,726,7,6,5,6
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,11,14,14,0.027493062377346802,0.8747147090386544,0.7834555182405094,math,0.5893462379364488,470,166,205,293,5,3,3,4
GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,7,9,8,-1.179146897517312,-0.45622639292694084,-0.5278365567806823,math,-0.7563073795057134,883,671,746,826,7,6,6,7
GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,7,7,5,-1.179146897517312,-0.9886028337131789,-1.1834825942912781,math,-1.1716670675670504,883,908,934,932,7,7,8,8
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,17,17,1.5357930122456702,1.6732793702180115,1.4391015557511053,math,1.6251073631195585,66,51,65,56,2,2,2,2
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,10,13,14,-0.2741669275963179,0.6085264886455354,0.7834555182405094,math,0.39081358402381416,600,243,205,357,5,4,3,4
