school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1_port,G2_port,G3_port,GT_port,G1_scale_port,G2_scale_port,G3_scale_port,GT_scale_port,G1_scale_port,G2_scale_port,G3_scale_port,GT_scale_port,G1_port_rank,G2_port_rank,G3_port_rank,GT_port_rank,G1_port_rank_bin,G2_port_rank_bin,G3_port_rank_bin,GT_port_rank_bin
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,10,13,13,14,40,0.5836082233625709,0.4911367513733601,0.6486625961547973,0.6011135056666284,0.5836082233625709,0.4911367513733601,0.6486625961547973,0.6011135056666284,153,153,132,160,4,4,3,4
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,2,13,14,14,41,0.5836082233625709,0.8346149320213242,0.6486625961547973,0.7209164917835925,0.5836082233625709,0.8346149320213242,0.6486625961547973,0.7209164917835925,153,99,132,138,4,3,3,3
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7,23,-1.2391142836745241,-1.2262541518664605,-1.5197510714914457,-1.3899841208975496,-1.2391142836745241,-1.2262541518664605,-1.5197510714914457,-1.3899841208975496,558,577,620,601,7,7,8,8
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,6,12,12,12,36,0.21906372195515192,0.14765857072539595,0.029115833970156463,0.13806579941188055,0.21906372195515192,0.14765857072539595,0.029115833970156463,0.13806579941188055,225,233,277,277,4,4,5,5
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,12,13,14,39,0.21906372195515192,0.4911367513733601,0.6486625961547973,0.47396272200188555,0.21906372195515192,0.4911367513733601,0.6486625961547973,0.47396272200188555,225,153,132,181,4,4,3,4
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12,35,-0.14548077945226706,0.14765857072539595,0.029115833970156463,0.010915015747137803,-0.14548077945226706,0.14765857072539595,0.029115833970156463,0.010915015747137803,307,233,277,306,5,4,5,5
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,12,13,14,39,0.21906372195515192,0.4911367513733601,0.6486625961547973,0.47396272200188555,0.21906372195515192,0.4911367513733601,0.6486625961547973,0.47396272200188555,225,153,132,181,4,4,3,4
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10,30,-0.510025280859686,-0.5392977905705323,-0.5904309282144844,-0.5719356766245743,-0.510025280859686,-0.5392977905705323,-0.5904309282144844,-0.5719356766245743,398,422,453,451,6,6,6,6
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,11,10,31,-0.510025280859686,-0.1958196099225682,-0.5904309282144844,-0.4521326905076099,-0.510025280859686,-0.1958196099225682,-0.5904309282144844,-0.4521326905076099,398,319,453,422,6,5,6,6
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,1,2,2,1,3,5,6,10,11,12,33,-0.510025280859686,-0.1958196099225682,0.029115833970156463,-0.23603875403456925,-0.510025280859686,-0.1958196099225682,0.029115833970156463,-0.23603875403456925,398,319,277,354,6,5,5,5
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,5,8,11,12,12,35,-0.14548077945226706,0.14765857072539595,0.029115833970156463,0.010915015747137803,-0.14548077945226706,0.14765857072539595,0.029115833970156463,0.010915015747137803,307,233,277,306,5,4,5,5
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,11,11,11,33,-0.14548077945226706,-0.1958196099225682,-0.28065754712216395,-0.21693493860634686,-0.14548077945226706,-0.1958196099225682,-0.28065754712216395,-0.21693493860634686,307,319,349,354,5,5,5,5
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13,37,0.21906372195515192,0.14765857072539595,0.3388892150624769,0.24611276764840084,0.21906372195515192,0.14765857072539595,0.3388892150624769,0.24611276764840084,225,233,195,239,4,4,4,4
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12,35,0.21906372195515192,-0.1958196099225682,0.029115833970156463,0.018262813294916167,0.21906372195515192,-0.1958196099225682,0.029115833970156463,0.018262813294916167,225,319,277,306,4,5,5,5
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,10,11,11,32,-0.510025280859686,-0.1958196099225682,-0.28065754712216395,-0.3440857222710896,-0.510025280859686,-0.1958196099225682,-0.28065754712216395,-0.3440857222710896,398,319,349,385,6,5,5,5
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,2,15,15,15,45,1.3126972261774088,1.1780931126692884,0.9584359772471177,1.2030680134665626,1.3126972261774088,1.1780931126692884,0.9584359772471177,1.2030680134665626,47,61,83,73,2,2,3,3
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,13,14,15,42,0.5836082233625709,0.8346149320213242,0.9584359772471177,0.8289634600201129,0.5836082233625709,0.8346149320213242,0.9584359772471177,0.8289634600201129,153,99,83,123,4,3,3,3
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12,37,0.5836082233625709,0.14765857072539595,0.029115833970156463,0.26521658307662327,0.5836082233625709,0.14765857072539595,0.029115833970156463,0.26521658307662327,153,233,277,239,4,4,5,4
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,4,12,12,12,36,0.21906372195515192,0.14765857072539595,0.029115833970156463,0.13806579941188055,0.21906372195515192,0.14765857072539595,0.029115833970156463,0.13806579941188055,225,233,277,277,4,4,5,5
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,4,11,11,11,33,-0.14548077945226706,-0.1958196099225682,-0.28065754712216395,-0.21693493860634686,-0.14548077945226706,-0.1958196099225682,-0.28065754712216395,-0.21693493860634686,307,319,349,354,5,5,5,5
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0,14,14,14,42,0.9481527247699899,0.8346149320213242,0.6486625961547973,0.8480672754483353,0.9481527247699899,0.8346149320213242,0.6486625961547973,0.8480672754483353,82,99,132,123,3,3,3,3
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,4,13,13,13,39,0.5836082233625709,0.4911367513733601,0.3388892150624769,0.493066537430108,0.5836082233625709,0.4911367513733601,0.3388892150624769,0.493066537430108,153,153,195,181,4,4,4,4
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11,12,12,35,-0.14548077945226706,0.14765857072539595,0.029115833970156463,0.010915015747137803,-0.14548077945226706,0.14765857072539595,0.029115833970156463,0.010915015747137803,307,233,277,306,5,4,5,5
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,12,39,0.9481527247699899,0.4911367513733601,0.029115833970156463,0.5121703528583305,0.9481527247699899,0.4911367513733601,0.029115833970156463,0.5121703528583305,82,153,277,181,3,4,5,4
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,10,32,-0.14548077945226706,-0.1958196099225682,-0.5904309282144844,-0.3249819068428672,-0.14548077945226706,-0.1958196099225682,-0.5904309282144844,-0.3249819068428672,307,319,453,385,5,5,6,5
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,10,11,11,32,-0.510025280859686,-0.1958196099225682,-0.28065754712216395,-0.3440857222710896,-0.510025280859686,-0.1958196099225682,-0.28065754712216395,-0.3440857222710896,398,319,349,385,6,5,5,5
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,14,15,15,44,0.9481527247699899,1.1780931126692884,0.9584359772471177,1.07591722980182,0.9481527247699899,1.1780931126692884,0.9584359772471177,1.07591722980182,82,61,83,87,3,2,3,3
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,9,10,10,29,-0.874569782267105,-0.5392977905705323,-0.5904309282144844,-0.6990864602893172,-0.874569782267105,-0.5392977905705323,-0.5904309282144844,-0.6990864602893172,493,422,453,493,6,6,6,6
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,11,11,32,-0.510025280859686,-0.1958196099225682,-0.28065754712216395,-0.3440857222710896,-0.510025280859686,-0.1958196099225682,-0.28065754712216395,-0.3440857222710896,398,319,349,385,6,5,5,5
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11,32,-0.510025280859686,-0.1958196099225682,-0.28065754712216395,-0.3440857222710896,-0.510025280859686,-0.1958196099225682,-0.28065754712216395,-0.3440857222710896,398,319,349,385,6,5,5,5
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,6,13,12,13,38,0.5836082233625709,0.14765857072539595,0.3388892150624769,0.37326355131314365,0.5836082233625709,0.14765857072539595,0.3388892150624769,0.37326355131314365,153,233,195,214,4,4,4,4
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,2,17,17,17,51,2.041786228992247,1.8650494739652166,1.5779827394317587,1.913069489503018,2.041786228992247,1.8650494739652166,1.5779827394317587,1.913069489503018,9,16,18,20,1,1,1,1
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,3,2,2,5,4,11,12,13,36,-0.14548077945226706,0.14765857072539595,0.3388892150624769,0.11896198398365813,-0.14548077945226706,0.14765857072539595,0.3388892150624769,0.11896198398365813,307,233,195,277,5,4,4,5
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12,37,0.5836082233625709,0.14765857072539595,0.029115833970156463,0.26521658307662327,0.5836082233625709,0.14765857072539595,0.029115833970156463,0.26521658307662327,153,233,277,239,4,4,5,4
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,0,14,13,13,40,0.9481527247699899,0.4911367513733601,0.3388892150624769,0.6202173210948507,0.9481527247699899,0.4911367513733601,0.3388892150624769,0.6202173210948507,82,153,195,160,3,4,4,4
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,16,14,16,46,1.677241727584828,0.8346149320213242,1.2682093583394383,1.3184627792508614,1.677241727584828,0.8346149320213242,1.2682093583394383,1.3184627792508614,25,99,47,60,1,3,2,2
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,4,10,9,9,28,-0.510025280859686,-0.8827759712184965,-0.9002043093068048,-0.7997856309780591,-0.510025280859686,-0.8827759712184965,-0.9002043093068048,-0.7997856309780591,398,505,550,519,6,7,7,7
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,0,13,12,12,37,0.5836082233625709,0.14765857072539595,0.029115833970156463,0.26521658307662327,0.5836082233625709,0.14765857072539595,0.029115833970156463,0.26521658307662327,153,233,277,239,4,4,5,4
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,13,12,13,38,0.5836082233625709,0.14765857072539595,0.3388892150624769,0.37326355131314365,0.5836082233625709,0.14765857072539595,0.3388892150624769,0.37326355131314365,153,233,195,214,4,4,4,4
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,2,12,13,12,37,0.21906372195515192,0.4911367513733601,0.029115833970156463,0.2578687855288449,0.21906372195515192,0.4911367513733601,0.029115833970156463,0.2578687855288449,225,153,277,239,4,4,5,4
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,14,15,44,1.3126972261774088,0.8346149320213242,0.9584359772471177,1.0832650273495983,1.3126972261774088,0.8346149320213242,0.9584359772471177,1.0832650273495983,47,99,83,87,2,3,3,3
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,8,15,15,16,46,1.3126972261774088,1.1780931126692884,1.2682093583394383,1.311114981703083,1.3126972261774088,1.1780931126692884,1.2682093583394383,1.311114981703083,47,61,47,60,2,2,2,2
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,14,13,14,41,0.9481527247699899,0.4911367513733601,0.6486625961547973,0.728264289331371,0.9481527247699899,0.4911367513733601,0.6486625961547973,0.728264289331371,82,153,132,138,3,4,3,3
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,1,1,5,2,16,15,16,47,1.677241727584828,1.1780931126692884,1.2682093583394383,1.4382657653678261,1.677241727584828,1.1780931126692884,1.2682093583394383,1.4382657653678261,25,61,47,48,1,2,2,2
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,0,17,16,16,49,2.041786228992247,1.5215712933172525,1.2682093583394383,1.685219535149533,2.041786228992247,1.5215712933172525,1.2682093583394383,1.685219535149533,9,36,47,29,1,2,2,2
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16,36,-0.510025280859686,-0.5392977905705323,1.2682093583394383,0.0763461327945477,-0.510025280859686,-0.5392977905705323,1.2682093583394383,0.0763461327945477,398,422,47,277,6,6,2,5
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,13,13,10,36,0.5836082233625709,0.4911367513733601,-0.5904309282144844,0.16892563272054695,0.5836082233625709,0.4911367513733601,-0.5904309282144844,0.16892563272054695,153,153,453,277,4,4,6,5
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,3,4,4,2,4,4,0,14,13,13,40,0.9481527247699899,0.4911367513733601,0.3388892150624769,0.6202173210948507,0.9481527247699899,0.4911367513733601,0.3388892150624769,0.6202173210948507,82,153,195,160,3,4,4,4
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,13,12,12,37,0.5836082233625709,0.14765857072539595,0.029115833970156463,0.26521658307662327,0.5836082233625709,0.14765857072539595,0.029115833970156463,0.26521658307662327,153,233,277,239,4,4,5,4
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,16,47,1.677241727584828,1.1780931126692884,1.2682093583394383,1.4382657653678261,1.677241727584828,1.1780931126692884,1.2682093583394383,1.4382657653678261,25,61,47,48,1,2,2,2
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12,35,-0.14548077945226706,0.14765857072539595,0.029115833970156463,0.010915015747137803,-0.14548077945226706,0.14765857072539595,0.029115833970156463,0.010915015747137803,307,233,277,306,5,4,5,5
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,0,10,9,10,29,-0.510025280859686,-0.8827759712184965,-0.5904309282144844,-0.6917386627415386,-0.510025280859686,-0.8827759712184965,-0.5904309282144844,-0.6917386627415386,398,505,453,493,6,7,6,6
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,1,3,1,3,4,0,11,10,11,32,-0.14548077945226706,-0.5392977905705323,-0.28065754712216395,-0.3367379247233112,-0.14548077945226706,-0.5392977905705323,-0.28065754712216395,-0.3367379247233112,307,422,349,385,5,6,5,5
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,6,15,15,15,45,1.3126972261774088,1.1780931126692884,0.9584359772471177,1.2030680134665626,1.3126972261774088,1.1780931126692884,0.9584359772471177,1.2030680134665626,47,61,83,73,2,2,3,3
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,2,13,11,11,35,0.5836082233625709,-0.1958196099225682,-0.28065754712216395,0.03736662872313857,0.5836082233625709,-0.1958196099225682,-0.28065754712216395,0.03736662872313857,153,319,349,306,4,5,5,5
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,11,9,10,30,-0.14548077945226706,-0.8827759712184965,-0.5904309282144844,-0.564587879076796,-0.14548077945226706,-0.8827759712184965,-0.5904309282144844,-0.564587879076796,307,505,453,451,5,7,6,6
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,13,11,11,35,0.5836082233625709,-0.1958196099225682,-0.28065754712216395,0.03736662872313857,0.5836082233625709,-0.1958196099225682,-0.28065754712216395,0.03736662872313857,153,319,349,306,4,5,5,5
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,13,13,14,40,0.5836082233625709,0.4911367513733601,0.6486625961547973,0.6011135056666284,0.5836082233625709,0.4911367513733601,0.6486625961547973,0.6011135056666284,153,153,132,160,4,4,3,4
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,5,4,11,11,11,33,-0.14548077945226706,-0.1958196099225682,-0.28065754712216395,-0.21693493860634686,-0.14548077945226706,-0.1958196099225682,-0.28065754712216395,-0.21693493860634686,307,319,349,354,5,5,5,5
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,0,11,11,11,33,-0.14548077945226706,-0.1958196099225682,-0.28065754712216395,-0.21693493860634686,-0.14548077945226706,-0.1958196099225682,-0.28065754712216395,-0.21693493860634686,307,319,349,354,5,5,5,5
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,12,11,11,34,0.21906372195515192,-0.1958196099225682,-0.28065754712216395,-0.08978415494160416,0.21906372195515192,-0.1958196099225682,-0.28065754712216395,-0.08978415494160416,225,319,349,329,4,5,5,5
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,1,13,13,13,39,0.5836082233625709,0.4911367513733601,0.3388892150624769,0.493066537430108,0.5836082233625709,0.4911367513733601,0.3388892150624769,0.493066537430108,153,153,195,181,4,4,4,4
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10,28,-0.874569782267105,-0.8827759712184965,-0.5904309282144844,-0.8188894464062815,-0.874569782267105,-0.8827759712184965,-0.5904309282144844,-0.8188894464062815,493,505,453,519,6,7,6,7
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,14,12,11,11,34,0.21906372195515192,-0.1958196099225682,-0.28065754712216395,-0.08978415494160416,0.21906372195515192,-0.1958196099225682,-0.28065754712216395,-0.08978415494160416,225,319,349,329,4,5,5,5
